,0,1,2,3,4,5
82,18233020.655500006,18142546.069599997,18078756.04,21399817.2514,3752812.3671034337,123533541302413.67
83,18141399.512500003,18294874.693599995,18163169.5419,21476930.524,12254148.169161197,407066414982121.5
84,18298029.990000002,17895643.911999997,18120102.1175,21252660.099999998,6129589.863139363,201046603518483.22
85,17894855.967,19199761.3672,19151121.406799998,21021076.509999998,20198454.066128496,677228913828503.2
86,19249120.3115,18359631.435999997,20140220.8363,21455803.599999998,40069845.80760158,1403708020162916.8
87,18320371.611,18419811.488799997,18363689.5798,21483837.402999997,5470939.7694820715,181892080553696.66
88,18401197.720000003,17940317.8672,18218050.131300002,21053863.870899998,8256233.755662286,268915092683743.03
89,17955492.6295,17966309.365599997,17853968.385999996,21170833.898199998,2957314.6210037526,96479926316434.45
90,17971685.180500004,18067508.852799997,18051788.2719,21346512.397,1506365.0213053345,49614403274571.49
91,18086877.758500002,18038101.914399996,18008552.088,21399735.994,2215221.395073764,72679243329665.75
92,18041852.901500005,17989124.504799996,17869325.500499997,21220116.511299998,1896623.8634587126,61864693977660.25
93,17978483.319000002,17901279.387999997,17797737.720599998,21170224.4677,1976904.650080532,64340815057045.016
94,17886452.238000005,16987922.423199996,17673564.480499998,19911913.0,22143669.29398729,697309591635868.9
95,17017076.2245,16747065.594399998,17051348.204,19451996.116,16380788.651658459,500560266848586.8
96,16775486.096500004,16633536.3688,16777316.5279,19410514.2133,19707774.24280101,593020811882332.0
97,16601159.962000001,16637464.124799997,16688751.542299999,19562628.066099998,15696570.192442661,474847516497698.4
98,16602423.937500002,15533662.225599997,16426431.775499998,18042992.8,43407815.86210442,1241542664369491.2
99,15536892.591000002,15526216.566399999,15576356.4221,18026294.4043,18814046.210110616,531192627506887.5
100,15593942.296000002,16269518.773599995,16708631.4114,18461224.637799997,22709489.276804924,662975327022855.5
101,16257905.210000003,15859597.664799998,16358657.960299999,18289446.4942,19617202.961118184,568726993852835.8
102,15854628.702500002,17013708.995199997,17250855.6849,18468862.8334,30918215.171150077,935085268874593.9
103,17058548.285500005,17250808.839999996,17380530.484699998,19950916.552,14921354.247563927,465053816528529.94
104,17254396.165000003,17134888.806399997,17554926.552,20201555.002299998,28976960.79426738,909953383364847.0
105,17138452.034000006,17199099.078399997,17207855.7643,20174252.515899997,7672790.535092897,239662027479042.84
106,17270076.293500002,17411607.755199995,17423969.18,20444961.544,7138858.606371222,225213930244342.72
107,17376216.074,16842356.370399997,17373948.8642,19673503.788399998,14165737.02190792,439153910459309.25
108,16805274.924500003,16800278.1496,17207855.7643,19851538.7518,16569526.8896512,512217455054263.4
109,16818495.425,16832007.587199997,16877188.4,19627512.099999998,6714504.085974099,204152267586274.3
110,16835473.690500002,16963160.483199995,17065996.528599996,19758824.058399998,10072832.236759381,308835252816026.0
111,16966927.142500006,17191653.4192,17122159.690199997,19949860.2058,3761369.1099677593,116534886615079.25
112,17223958.268500004,17075118.606399998,17207855.7643,20058176.32,5349073.755757229,166221759171651.4
113,17068147.667000003,17724462.059199996,18307256.402999997,20297804.392599996,15730971.594525836,510891735647701.2
114,17696036.037,18108835.676799998,17953705.250499997,20972322.07,4882362.586224785,158469533391482.38
115,18110824.970000003,18207576.047199998,18129316.386199996,21299342.476299997,3781782.4824950485,124707853928084.58
116,18153868.460000005,17982635.1688,18069102.9966,21235717.932099998,2645014.50444705,86698528582646.45
117,17982104.438000005,18062761.391199995,17939900.723399997,21329732.7439,2004374.7152479019,65803665604107.17
118,18070890.176500004,18014227.988799997,18003725.5663,21310881.0271,2334027.397516061,76573514493149.31
119,18015377.739000004,18519337.410399996,18331895.29,21395795.010099996,6212783.367663301,206606286099386.3
120,18464806.433000002,18246751.143999998,18473957.0371,21609948.887799997,9707739.993285438,325133612484764.3
121,18233328.109000005,17811999.786399998,18037342.458699998,21098067.8965,8828968.37152139,288863947274030.8
122,17815327.995,18029529.159999996,17953772.7543,21183956.9683,5595269.991685124,183012600340956.28
